ID,Acc,condition,block,trialType,foreperiod,RT,counterbalance,extFixationDuration,action_trigger.rt,oneBackFP,twoBackFP,oneBacktrialType,twoBacktrialType,oneBackEffect,numOneBackFPDiff,oneBackFPDiff,numForeperiod,numOneBackFP,logFP,logOneBackFP,logRT,invRT,RTzscore,logRTzscore
002,1,external,0,go,600,323.1,external-action,1387.512822,NA,1800,600,go,go,-8.799999999999969,-1200,-1,600,1800,2.7781512503836434,3.255272505103306,2.509336958017644,0.003095017022593624,-0.0556157687285192,0.014584356135078908
002,1,external,0,go,1800,370.40000000000003,external-action,1266.999545,NA,600,1800,go,go,47.30000000000001,1200,1,1800,600,3.255272505103306,2.7781512503836434,2.5686709780098966,0.0026997840172786176,0.9099186538859236,0.9710721804289947
002,1,external,0,go,1800,308.59999999999997,external-action,1466.7696429999999,NA,1800,600,go,go,-61.80000000000002,0,0,1800,1800,3.255272505103306,3.255272505103306,2.4893959217271293,0.0032404406999351917,-0.3516041223841106,-0.3068730205633313
002,1,external,0,go,600,356.4,external-action,1360.484356,NA,1200,1800,no-go,go,NA,-600,no-go,600,1200,2.7781512503836434,3.0791812460476247,2.551937695364837,0.0028058361391694727,0.6241367951839734,0.7013250587514454
002,1,external,0,go,1200,300.9,external-action,1588.388692,NA,600,1200,go,no-go,-55.499999999999986,600,1,1200,600,3.0791812460476247,2.7781512503836434,2.4784221877400805,0.003323363243602526,-0.5087841446701824,-0.48377394430022047
002,1,external,0,go,600,307.90000000000003,external-action,1596.352109,NA,1200,600,go,go,7,-600,-1,600,1200,2.7781512503836434,3.0791812460476247,2.4884096889031984,0.0032478077297823965,-0.36589321531920665,-0.3227714829990829
002,1,external,0,go,600,280.5,external-action,1313.025846,NA,600,1200,go,go,-27.39999999999998,0,0,600,600,2.7781512503836434,2.7781512503836434,2.4479328655921804,0.0035650623885918,-0.9252091387787366,-0.9752738529403088
002,1,external,0,go,1200,269.9,external-action,1507.835691,NA,600,600,go,go,-10.600000000000051,600,1,1200,600,3.0791812460476247,2.7781512503836434,2.431202884556517,0.0037050759540570586,-1.141586831795927,-1.2449677513710873
002,1,external,0,go,1200,311.2,external-action,1390.703376,NA,1200,600,go,go,41.300000000000004,0,0,1200,1200,3.0791812460476247,3.0791812460476247,2.4930395883176515,0.003213367609254499,-0.2985303486251767,-0.24813567679198303
002,1,external,0,go,1200,406.3,external-action,1467.369773,NA,1200,1200,go,go,95.10000000000002,0,0,1200,1200,3.0791812460476247,3.0791812460476247,2.6088468223264116,0.002461235540241201,1.64274499155735,1.6187226501678085
002,1,external,0,go,1800,278.6,external-action,1736.466579,NA,1200,1200,go,go,-127.69999999999997,600,1,1800,1200,3.255272505103306,3.0791812460476247,2.4449811120879446,0.003589375448671931,-0.963993819602572,-1.0228572846290283
002,1,external,0,go,600,310.09999999999997,external-action,1373.204151,NA,1800,1200,go,go,31.49999999999997,-1200,-1,600,1800,2.7781512503836434,3.255272505103306,2.4915017662373264,0.0032247662044501777,-0.32098463752318745,-0.27292597577987077
002,1,external,0,go,1200,304.8,external-action,1564.654851,NA,600,1800,go,go,-5.29999999999997,600,1,1200,600,3.0791812460476247,2.7781512503836434,2.4840149626675627,0.0032808398950131233,-0.42917348403178157,-0.39361620472937175
002,1,external,0,go,1800,289.1,external-action,1482.2545,NA,1200,600,go,go,-15.699999999999989,600,1,1800,1200,3.255272505103306,3.0791812460476247,2.461048091670658,0.003459010722933241,-0.7496574255761101,-0.7638512313386718
002,1,external,0,go,1800,306,external-action,1360.801156,NA,1800,1200,go,go,16.89999999999997,0,0,1800,1800,3.255272505103306,3.255272505103306,2.48572142648158,0.0032679738562091504,-0.40467789614304334,-0.36610733442328214
002,1,external,0,go,600,340.2,external-action,1262.615399,NA,1800,1800,go,go,34.20000000000001,-1200,-1,600,1800,2.7781512503836434,3.255272505103306,2.5317343092765503,0.0029394473838918285,0.29344635868600377,0.3756384997507488
002,1,external,0,go,1200,287.9,external-action,1286.01421,NA,600,1800,go,go,-52.30000000000001,600,1,1200,600,3.0791812460476247,2.7781512503836434,2.459241664878082,0.0034734282737061482,-0.7741530134648495,-0.79297154431937
002,1,external,0,go,1800,319.6,external-action,1360.91442,NA,1200,600,go,go,31.7,600,1,1800,1200,3.255272505103306,3.0791812460476247,2.5046067706419537,0.0031289111389236545,-0.1270612334040065,-0.06166813159569413
002,1,external,0,go,1800,291,external-action,1666.886985,NA,1800,1200,go,go,-28.600000000000012,0,0,1800,1800,3.255272505103306,3.255272505103306,2.4638929889859074,0.003436426116838488,-0.7108727447522746,-0.7179903635977418
002,1,external,0,go,1200,302.09999999999997,external-action,1676.8359070000001,NA,1800,1800,go,go,11.09999999999999,-600,-1,1200,1800,3.0791812460476247,3.255272505103306,2.48015072527328,0.0033101621979476996,-0.48428855678144417,-0.45590923692734375
002,1,external,0,go,600,326.90000000000003,external-action,1391.061442,NA,1200,1800,go,go,24.80000000000004,-600,-1,600,1200,2.7781512503836434,3.0791812460476247,2.514414920580369,0.0030590394616090543,0.021953592919152956,0.09644311716460409
002,1,external,0,go,1200,288.9,external-action,1618.282746,NA,600,1200,go,go,-38.00000000000003,600,1,1200,600,3.0791812460476247,2.7781512503836434,2.460747541844197,0.0034614053305642095,-0.7537400235575674,-0.7686962131828335
002,1,external,0,go,1800,268.5,external-action,1666.257101,NA,600,1200,no-go,go,-84.10000000000001,1200,no-go,1800,600,3.255272505103306,2.7781512503836434,2.428944290035574,0.0037243947858473,-1.1701650176661216,-1.2813771866256107
