ID,foreperiod,logFP,condition,oneBackFP,twoBackFP,oneBackFPDiff,oneBacktrialType,block,counterbalance,meanRT,meanLogRT,meanRTzscore,meanInvRT,meanSeqEff,numForeperiod,numOneBackFP,numOneBackFPDiff,numLogFP,squaredNumForeperiod,squaredNumOneBackFPDiff,squaredNumLogFP,scaledNumForeperiod,squaredScaledNumForeperiod,scaledNumOneBackFP,scaledNumOneBackFPDiff,squaredScaledNumOneBackFPDiff
002,600,2.7781512503836434,external,600,1200,no-go,no-go,1,external-action,304.09999999999997,2.483016420144132,-0.44346257696687996,0.0032883919763235783,NA,600,600,NA,2.77815125038364,360000,NA,7.718124370008182,-1.2337749621904985,1.5222006573281661,-1.2260862349260744,NA,NA
002,600,2.7781512503836434,external,600,1200,0,go,0,external-action,332.7,2.518701504120776,0.14034893438138812,0.0030529706534473083,-12.333333333333327,600,600,0,2.77815125038364,360000,0,7.718124370008182,-1.2337749621904985,1.5222006573281661,-1.2260862349260744,-3.8294318700518386e-4,1.4664548447368722e-7
002,600,2.7781512503836434,external,600,1200,0,go,1,external-action,337.55,2.5283351344866523,0.23935193543170671,0.002962564697217199,NA,600,600,0,2.77815125038364,360000,0,7.718124370008182,-1.2337749621904985,1.5222006573281661,-1.2260862349260744,-3.8294318700518386e-4,1.4664548447368722e-7
002,600,2.7781512503836434,external,600,1800,0,go,0,external-action,479,2.680335513414563,3.1267693578167575,0.0020876826722338203,31.799999999999986,600,600,0,2.77815125038364,360000,0,7.718124370008182,-1.2337749621904985,1.5222006573281661,-1.2260862349260744,-3.8294318700518386e-4,1.4664548447368722e-7
002,600,2.7781512503836434,external,600,1800,0,go,1,external-action,307.7,2.488127496247458,-0.36997581330066404,0.0032499187520311995,-5.60000000000004,600,600,0,2.77815125038364,360000,0,7.718124370008182,-1.2337749621904985,1.5222006573281661,-1.2260862349260744,-3.8294318700518386e-4,1.4664548447368722e-7
002,600,2.7781512503836434,external,1200,600,no-go,no-go,0,external-action,374.40000000000003,2.5733358400660675,0.991570613515052,0.0026709401709401706,NA,600,1200,NA,2.77815125038364,360000,NA,7.718124370008182,-1.2337749621904985,1.5222006573281661,-0.001072456798535992,NA,NA
002,600,2.7781512503836434,external,1200,600,no-go,no-go,1,external-action,371.09999999999997,2.569490954348783,0.9242077468210197,0.0026946914578280788,69.5,600,1200,NA,2.77815125038364,360000,NA,7.718124370008182,-1.2337749621904985,1.5222006573281661,-0.001072456798535992,NA,NA
002,600,2.7781512503836434,external,1200,600,-1,go,0,external-action,324.1666666666667,2.509509737103725,-0.03384191282741875,0.0031024546283577796,-8.666666666666677,600,1200,-1,2.77815125038364,360000,1,7.718124370008182,-1.2337749621904985,1.5222006573281661,-0.001072456798535992,-1.2219717097335416,1.493214859389115
002,600,2.7781512503836434,external,1200,600,-1,go,1,external-action,304.6,2.4837295245318827,-0.4332560820132378,0.003282999752104418,-20.89999999999997,600,1200,-1,2.77815125038364,360000,1,7.718124370008182,-1.2337749621904985,1.5222006573281661,-0.001072456798535992,-1.2219717097335416,1.493214859389115
002,600,2.7781512503836434,external,1200,1200,-1,go,0,external-action,403.3,2.605628222007619,1.581506021835504,0.002479543763947434,-4.599999999999991,600,1200,-1,2.77815125038364,360000,1,7.718124370008182,-1.2337749621904985,1.5222006573281661,-0.001072456798535992,-1.2219717097335416,1.493214859389115
002,600,2.7781512503836434,external,1200,1200,-1,go,1,external-action,319.5,2.504470862494419,-0.12910253239473518,0.003129890453834116,16.50000000000001,600,1200,-1,2.77815125038364,360000,1,7.718124370008182,-1.2337749621904985,1.5222006573281661,-0.001072456798535992,-1.2219717097335416,1.493214859389115
002,600,2.7781512503836434,external,1200,1800,no-go,no-go,0,external-action,356.4,2.551937695364837,0.6241367951839734,0.0028058361391694727,NA,600,1200,NA,2.77815125038364,360000,NA,7.718124370008182,-1.2337749621904985,1.5222006573281661,-0.001072456798535992,NA,NA
002,600,2.7781512503836434,external,1200,1800,-1,go,0,external-action,339.85,2.5309717485200753,0.28630181221845574,0.00294675329089523,37.75000000000003,600,1200,-1,2.77815125038364,360000,1,7.718124370008182,-1.2337749621904985,1.5222006573281661,-0.001072456798535992,-1.2219717097335416,1.493214859389115
002,600,2.7781512503836434,external,1200,1800,-1,go,1,external-action,341.5,2.5333907080175515,0.3199832455654707,0.0029282576866764276,3.9000000000000097,600,1200,-1,2.77815125038364,360000,1,7.718124370008182,-1.2337749621904985,1.5222006573281661,-0.001072456798535992,-1.2219717097335416,1.493214859389115
002,600,2.7781512503836434,external,1800,600,no-go,no-go,1,external-action,377.70000000000005,2.576994715438036,1.0589334802090826,0.002649461139447867,NA,600,1800,NA,2.77815125038364,360000,NA,7.718124370008182,-1.2337749621904985,1.5222006573281661,1.2239413213290025,NA,NA
002,600,2.7781512503836434,external,1800,600,-1,go,0,external-action,323.1,2.509336958017644,-0.0556157687285192,0.003095017022593624,-8.799999999999969,600,1800,-1,2.77815125038364,360000,1,7.718124370008182,-1.2337749621904985,1.5222006573281661,1.2239413213290025,-1.2219717097335416,1.493214859389115
002,600,2.7781512503836434,external,1800,1200,-1,go,0,external-action,378.65,2.5710017805578467,1.0783258206209998,0.0027304510807581836,62.999999999999964,600,1800,-1,2.77815125038364,360000,1,7.718124370008182,-1.2337749621904985,1.5222006573281661,1.2239413213290025,-1.2219717097335416,1.493214859389115
