,ID,k,r,c,a SSE Action,b SSE Action,SSEAction,R2_SSE_Action,a RMSE Action,b RMSE Action,RMSE_Action,R2_RMSE_Action,a 1-corr Action,b 1-corr Action,One_minus_corr_Action,R2_1-corr_Action,a SSE External,b SSE External,SSEExternal,R2_SSE_External,a RMSE External,b RMSE External,RMSE_External,R2_RMSE_External,a 1-corr External,b 1-corr External,One_minus_corr_External,R2_1-corr_External
0,2,4,-2.81,0.0,7.809283300267337,294.3845992750999,256570.67628474746,0.20980619322669708,4.0,375.0,1.014885901495246,0.20980619322669686,4.0,375.0,0.5419539398415298,0.20980619322669686,2.8877025176950766,312.9357818520577,172683.17356318634,0.07668758351669364,4.0,375.0,1.0771601477412802,0.07668758351669368,4.0,375.0,0.7230747690861419,0.07668758351669368
1,2,4,-2.81,0.00015,8.28053380693825,292.8290924380308,255491.23966206715,0.21313067343110198,4.0,375.0,1.012694167122047,0.21313067343110173,4.0,375.0,0.5383392225550216,0.21313067343110173,3.137360138242846,312.0519674660129,172220.19189044958,0.07916308080018984,4.0,375.0,1.075334019487015,0.0791630808001899,4.0,375.0,0.7186406553885407,0.0791630808001899
2,2,4,-2.81,0.0003,8.700902530179414,291.4407231939623,254672.79263403904,0.21565135031590732,4.0,375.0,1.0110405925806913,0.21565135031590738,4.0,375.0,0.5356172372752113,0.21565135031590738,3.3489426522890495,311.31713911223636,171863.1175182537,0.08107230678442597,4.0,375.0,1.0739429626494368,0.08107230678442591,4.0,375.0,0.71526800884968,0.08107230678442591
3,2,4,-2.81,0.00045,9.078554790244509,290.1912414213179,254049.67567202888,0.21757044399914413,4.0,375.0,1.009786326803365,0.21757044399914408,4.0,375.0,0.533555529565261,0.21757044399914408,3.5334805365691775,310.6842628018907,171573.53222980886,0.08262067821316824,4.0,375.0,1.0728255046696988,0.08262067821316826,4.0,375.0,0.7125618706344472,0.08262067821316826
4,2,4,-2.81,0.0006,9.419885900302633,289.05928867264794,253575.26788615575,0.21903153884968615,4.0,375.0,1.0088340611742697,0.21903153884968574,4.0,375.0,0.5319919457427194,0.21903153884968574,3.697698887685865,310.12605341484397,171329.5970450469,0.08392496502087403,4.0,375.0,1.0718914092278753,0.08392496502087415,4.0,375.0,0.7103019416342695,0.08392496502087415
5,2,4,-2.81,0.0007499999999999999,9.730079531045247,288.0279676257303,253215.7615016771,0.22013875703432717,4.0,375.0,1.0081139509618142,0.2201387570343274,4.0,375.0,0.5308105318378008,0.2201387570343274,3.846089971548643,309.6246937747132,171117.9251182465,0.08505674476402117,4.0,375.0,1.0710860709695156,0.08505674476402117,4.0,375.0,0.7083551050266417,0.08505674476402117
6,2,4,-2.81,0.0009,10.013281232910057,287.083693480691,252946.18317114637,0.22096901219340062,4.0,375.0,1.007574822148312,0.22096901219340032,4.0,375.0,0.5299265885062203,0.22096901219340032,3.9818643257732833,309.1675821134864,170929.85500576659,0.08606232895787633,4.0,375.0,1.070374509448332,0.08606232895787619,4.0,375.0,0.7066361832845158,0.08606232895787619
7,2,4,-2.81,0.00105,10.273000331451538,286.21476037971865,252747.78160465072,0.22158005509458856,4.0,375.0,1.0071785023128783,0.22158005509458836,4.0,375.0,0.5292770930849144,0.22158005509458836,4.10725194365766,308.7464820912097,170759.5505842051,0.08697292252617003,4.0,375.0,1.0697333374241327,0.08697292252616984,4.0,375.0,0.7050882801139129,0.08697292252616984
8,2,4,-2.81,0.0012,10.511924206247619,285.41295918141697,252606.2712677553,0.2220158827263921,4.0,375.0,1.0068960649899317,0.22201588272639217,4.0,375.0,0.5288143861211463,0.22201588272639217,4.224000734255959,308.35483232803915,170602.95285825798,0.08781022833750779,4.0,375.0,1.0691463880525793,0.08781022833750789,4.0,375.0,0.7036720932184957,0.08781022833750789
9,2,4,-2.81,0.0013499999999999999,10.732558887881703,284.6700211583152,252510.6265525387,0.22231045209308,4.0,375.0,1.0067052819858058,0.22231045209307995,4.0,375.0,0.5285019065859544,0.22231045209307995,4.33335676547469,307.9881423785384,170457.1657458382,0.08858973133342457,4.0,375.0,1.068602180680994,0.0885897313334247,4.0,375.0,0.7023597283070977,0.0885897313334247
