,ID,k,r,c,a SSE Action,b SSE Action,SSEAction,R2_SSE_Action,a RMSE Action,b RMSE Action,RMSE_Action,R2_RMSE_Action,a 1-corr Action,b 1-corr Action,One_minus_corr_Action,R2_1-corr_Action,a SSE External,b SSE External,SSEExternal,R2_SSE_External,a RMSE External,b RMSE External,RMSE_External,R2_RMSE_External,a 1-corr External,b 1-corr External,One_minus_corr_External,R2_1-corr_External
0,2,4,-10.0,0.0001,14.871943846882045,269.48759906902063,252374.94974321994,0.2227283134631382,4.0,375.0,1.006434801490662,0.22272831346313837,4.0,375.0,0.5280589936621969,0.22272831346313837,5.573595267213032,304.4612969181557,171748.99205852015,0.08168251942150856,4.0,375.0,1.0735014485991268,0.08168251942150856,4.0,375.0,0.714198461478059,0.08168251942150856
1,2,4,-9.292857142857143,0.0001,13.60566523728628,274.2196710990642,250874.21300304902,0.22735032598198235,4.0,375.0,1.0034549336180025,0.2273503259819827,4.0,375.0,0.5231873261101561,0.2273503259819827,4.696461066287076,307.5862416315426,173601.16649885065,0.07177920559979148,4.0,375.0,1.0808608016842522,0.07177920559979137,4.0,375.0,0.7320835846765053,0.07177920559979137
2,2,4,-8.585714285714285,0.0001,11.946170698468853,280.21310453887594,251231.7045503298,0.2262493131513036,4.0,375.0,1.004162801038746,0.22624931315130384,4.0,375.0,0.5243432822388567,0.22624931315130384,4.01539370167711,309.9449425814124,174772.20334963902,0.06551783779162378,4.0,375.0,1.0857509491781594,0.06551783779162372,4.0,375.0,0.7440354755212674,0.06551783779162372
3,2,4,-7.878571428571428,0.0001,10.31840940260542,285.8979363012352,252096.62686722874,0.22358550032516308,4.0,375.0,1.0058805126847563,0.22358550032516328,4.0,375.0,0.5271517153196352,0.22358550032516328,3.4976021138867552,311.64763294252384,175301.52651519026,0.0626876219621758,4.0,375.0,1.0880303900771835,0.06268762196217594,4.0,375.0,0.7496250372697463,0.06268762196217594
4,2,4,-7.171428571428571,0.0001,8.93780563638143,290.52327732849193,252702.6186229745,0.22171914934788556,4.0,375.0,1.0070883409825142,0.2217191493478851,4.0,375.0,0.5291293709012155,0.2217191493478851,3.105179133776998,312.83862695419623,175304.80215518322,0.06267010757931467,4.0,375.0,1.0880446394861925,0.06267010757931467,4.0,375.0,0.7496600160195845,0.06267010757931467
5,2,4,-6.4642857142857135,0.0001,7.858573428853161,293.97518019549597,253018.89990857072,0.2207450570768377,4.0,375.0,1.007720176606925,0.22074505707683748,4.0,375.0,0.5301648618112547,0.22074505707683748,2.80802936633728,313.65421449947615,174968.5282801223,0.06446811625931795,4.0,375.0,1.086591091113213,0.06446811625931784,4.0,375.0,0.7460942768283514,0.06446811625931784
6,2,4,-5.757142857142857,0.0001,7.086529027011227,296.35290006932973,253343.02099476254,0.21974681956088388,4.0,375.0,1.0083687096929277,0.21974681956088352,4.0,375.0,0.5312283929663791,0.21974681956088352,2.5872701652442056,314.21203160409476,174532.2681657603,0.06680073715948968,4.0,375.0,1.084732399384394,0.06680073715948966,4.0,375.0,0.7415416142596847,0.06680073715948966
7,2,4,-5.05,0.0001,6.637259126795558,297.7222288550045,253890.60717540135,0.2180603477645466,4.0,375.0,1.0094667778492694,0.21806034776454578,4.0,375.0,0.5330306779192601,0.21806034776454578,2.446611602652339,314.548078696212,174173.73055585168,0.06871778686335585,4.0,375.0,1.083226675766171,0.06871778686335582,4.0,375.0,0.737859223196093,0.06871778686335582
8,2,4,-4.3428571428571425,0.0001,6.555424059841782,298.0078062036155,254582.0590773528,0.21593079415318592,4.0,375.0,1.0108577067260527,0.21593079415318556,4.0,375.0,0.5353164580564688,0.21593079415318556,2.4153097712528107,314.57862644755164,173886.90945563186,0.0702513785735677,4.0,375.0,1.0820357133857408,0.07025137857356782,4.0,375.0,0.7349502337794507,0.07025137857356782
9,2,4,-3.6357142857142852,0.0001,6.925938604641087,296.9478242272419,255174.167137874,0.21410720258263677,4.0,375.0,1.0120527264714594,0.21410720258263655,4.0,375.0,0.5372828049632945,0.21410720258263655,2.5466703138107336,314.1024742218114,173478.44828241513,0.07243536248988014,4.0,375.0,1.0803596645148579,0.07243536248988008,4.0,375.0,0.7308618152511983,0.07243536248988008
10,2,4,-2.928571428571428,0.0001,7.8935579435668926,294.04832454342204,255699.17860601746,0.21249025704256533,4.0,375.0,1.0131154065853645,0.21249025704256513,4.0,375.0,0.539033344977573,0.21249025704256513,2.9491604682199477,312.7087557868757,172595.51181513062,0.07715629844818499,4.0,375.0,1.0768123870801016,0.07715629844818511,4.0,375.0,0.7222297740070309,0.07715629844818511
11,2,4,-2.2214285714285706,0.0001,9.678919356644721,288.49137484968406,256943.10625779524,0.20865917259945144,4.0,375.0,1.0156450187573747,0.20865917259945155,4.0,375.0,0.5432077358366809,0.20865917259945155,3.9229570708381845,309.3045644279132,170523.35991667197,0.08823580049699656,4.0,375.0,1.06884901262475,0.08823580049699649,4.0,375.0,0.702954884744764,0.08823580049699649
12,2,4,-1.5142857142857142,0.0001,11.962236553062644,281.05001867061793,262505.1802723173,0.19152893580521646,4.0,375.0,1.027171006605651,0.191528935805216,4.0,375.0,0.562359810111987,0.191528935805216,6.140163609278694,301.5417582723014,166073.20103149713,0.1120301683551465,4.0,375.0,1.0531144538625894,0.11203016835514647,4.0,375.0,0.6652909198196941,0.11203016835514647
